id,poster_id,title,company_name,location,job_type,description,apply_url,created_at
1,42,UI Designer,DesignStudio,Bandung,full-time,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/1,2024-09-18 09:55:00
2,37,UX Researcher,TechCorp,Surabaya,part-time,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/2,2023-08-28 02:57:05
3,42,Product Designer,DesignStudio,Surabaya,internship,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/3,2023-12-09 05:08:44
4,15,Motion Designer,Creative Agency,Surabaya,contract,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/4,2025-07-19 17:52:35
5,4,Motion Designer,StartupXYZ,Jakarta,full-time,We're looking for a talented motion designer to join our team.,https://jobs.example.com/apply/5,2023-11-19 14:08:15
6,2,UX Researcher,DesignStudio,Jakarta,freelance,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/6,2023-09-24 14:58:24
7,38,UI Designer,Digital Lab,London,part-time,We're looking for a talented motion designer to join our team.,https://jobs.example.com/apply/7,2026-03-27 06:00:57
8,50,Brand Designer,Creative Agency,Surabaya,contract,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/8,2023-05-17 03:18:00
9,10,Product Designer,TechCorp,London,contract,We're looking for a talented UI designer to join our team.,https://jobs.example.com/apply/9,2023-08-27 10:21:41
10,2,Product Designer,StartupXYZ,New York,freelance,We're looking for a talented UX designer to join our team.,https://jobs.example.com/apply/10,2024-08-22 18:08:03
11,34,UX Researcher,StartupXYZ,Jakarta,freelance,We're looking for a talented UI designer to join our team.,https://jobs.example.com/apply/11,2024-12-25 02:23:50
12,46,Brand Designer,StartupXYZ,New York,freelance,We're looking for a talented product designer to join our team.,https://jobs.example.com/apply/12,2024-06-17 04:38:32
13,11,Product Designer,TechCorp,Bandung,contract,We're looking for a talented product designer to join our team.,https://jobs.example.com/apply/13,2025-04-12 20:03:17
14,41,UX Researcher,DesignStudio,London,freelance,We're looking for a talented UI designer to join our team.,https://jobs.example.com/apply/14,2025-03-05 15:18:05
15,14,UX Researcher,StartupXYZ,London,internship,We're looking for a talented motion designer to join our team.,https://jobs.example.com/apply/15,2024-02-25 03:35:40
16,8,UI Designer,TechCorp,London,full-time,We're looking for a talented UI designer to join our team.,https://jobs.example.com/apply/16,2025-10-24 22:55:25
17,23,Product Designer,StartupXYZ,Jakarta,contract,We're looking for a talented motion designer to join our team.,https://jobs.example.com/apply/17,2023-04-27 10:45:56
18,39,Brand Designer,StartupXYZ,Bandung,full-time,We're looking for a talented product designer to join our team.,https://jobs.example.com/apply/18,2026-08-08 19:53:36
19,7,UI Designer,DesignStudio,Remote,part-time,We're looking for a talented motion designer to join our team.,https://jobs.example.com/apply/19,2024-11-23 11:39:42
20,36,Brand Designer,DesignStudio,New York,freelance,We're looking for a talented UI designer to join our team.,https://jobs.example.com/apply/20,2025-09-19 02:10:28
