id;user_id;team_id;title;description;image_url;created_at;updated_at
1;32.0;;Character Loop #1;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_1.png;2023-05-30;2023-05-31
2;29.0;;Creative Concept #2;Sample Other design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/other_2.png;2024-08-23;2024-08-25
3;46.0;;E-commerce UI #3;Sample Web Design design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/web_design_3.png;2026-06-15;2026-06-16
4;44.0;;Brand Guidelines #4;Sample Branding design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/branding_4.png;2024-12-28;2024-12-31
5;45.0;;3D Animation #5;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_5.png;2023-11-01;2023-11-04
6;6.0;;Creative Process #6;Sample Other design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/other_6.png;2023-06-27;2023-06-29
7;28.0;;App Onboarding #7;Sample Mobile App design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/mobile_app_7.png;2023-08-06;2023-08-06
8;26.0;;Editorial Illustration #8;Sample Illustration design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/illustration_8.png;2025-01-07;2025-01-09
9;12.0;;E-commerce UI #9;Sample Web Design design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/web_design_9.png;2026-09-06;2026-09-06
10;2.0;;E-commerce UI #10;Sample Web Design design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/web_design_10.png;2025-06-09;2025-06-09
11;4.0;;Creative Concept #11;Sample Other design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/other_11.png;2023-06-27;2023-06-27
12;37.0;;Logo Design #12;Sample Branding design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/branding_12.png;2023-09-13;2023-09-16
13;31.0;;UI Micro-interaction #13;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_13.png;2023-11-29;2023-11-30
14;17.0;;App Dashboard #14;Sample Mobile App design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/mobile_app_14.png;2024-02-08;2024-02-09
15;29.0;;Motion Graphics #15;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_15.png;2026-01-14;2026-01-16
16;4.0;;SaaS Dashboard #16;Sample Web Design design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/web_design_16.png;2024-12-30;2024-12-31
17;32.0;;3D Animation #17;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_17.png;2024-10-14;2024-10-15
18;1.0;;Digital Art #18;Sample Illustration design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/illustration_18.png;2025-04-27;2025-04-28
19;3.0;;Editorial Illustration #19;Sample Illustration design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/illustration_19.png;2026-06-23;2026-06-23
20;7.0;;Logo Reveal #20;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_20.png;2024-02-26;2024-02-29
21;44.0;;UI Micro-interaction #21;Sample Animation design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/animation_21.png;2026-10-24;2026-10-25
22;50.0;;Mobile UI Kit #22;Sample Mobile App design showcase. Created with passion and precision.;https://cdn.dribbble.com/shots/mobile_app_22.png;2026-04-14;2026-04-15
