id,shot_id,user_id,body,created_at
1,343,11,The micro-interactions are so smooth!,2023-06-13 21:26:45
2,10,11,Great use of color and typography.,2023-05-25 05:04:14
3,452,43,Clean and minimal. Perfect! ✨,2024-05-20 00:56:01
4,165,50,Clean and minimal. Perfect! ✨,2024-08-26 07:07:23
5,382,39,Great use of color and typography.,2025-08-02 01:48:27
6,200,17,Can you share the process behind this?,2023-10-09 02:07:23
7,426,31,The micro-interactions are so smooth!,2024-01-13 19:18:05
8,340,36,Inspiring work! Would love to collaborate.,2023-12-25 08:17:43
9,336,32,How did you achieve this effect?,2024-12-09 19:25:36
10,252,29,Love this! 🔥,2023-04-20 12:58:48
11,424,50,Clean and minimal. Perfect! ✨,2024-04-29 15:40:16
12,368,29,How did you achieve this effect?,2024-06-11 14:59:27
13,55,49,Great use of color and typography.,2025-02-26 10:03:47
14,4,13,The micro-interactions are so smooth!,2024-10-22 11:04:23
15,379,2,The micro-interactions are so smooth!,2023-03-01 05:14:02
16,399,37,Great use of color and typography.,2023-07-05 15:50:41
17,1,9,How did you achieve this effect?,2024-06-23 14:57:20
18,22,19,Can you share the process behind this?,2023-09-03 11:22:21
19,52,16,How did you achieve this effect?,2023-12-30 08:04:14
20,57,40,How did you achieve this effect?,2025-01-16 11:33:08
21,437,9,Great use of color and typography.,2024-07-07 04:24:51
22,136,22,How did you achieve this effect?,2025-05-13 10:39:46
23,90,49,Love this! 🔥,2026-09-22 07:13:53
24,113,45,Love this! 🔥,2026-03-25 09:20:28
25,117,3,The micro-interactions are so smooth!,2023-03-11 04:40:19
26,66,49,Great use of color and typography.,2024-10-19 14:26:07
27,496,36,How did you achieve this effect?,2026-11-12 23:03:27
28,234,5,The micro-interactions are so smooth!,2025-10-23 02:58:30
29,499,29,Clean and minimal. Perfect! ✨,2023-06-19 01:15:14
30,280,28,How did you achieve this effect?,2023-08-23 21:02:15
31,128,38,Great use of color and typography.,2025-05-07 18:59:36
32,220,39,Great use of color and typography.,2024-05-19 12:22:14
33,83,12,Great use of color and typography.,2024-11-22 18:34:30
34,392,37,Inspiring work! Would love to collaborate.,2024-05-04 19:47:00
35,103,48,Inspiring work! Would love to collaborate.,2025-05-14 02:32:33
36,318,37,The micro-interactions are so smooth!,2024-04-11 09:58:07
37,27,27,Can you share the process behind this?,2023-10-06 04:44:36
38,500,5,Inspiring work! Would love to collaborate.,2025-07-23 05:31:54
39,424,13,The micro-interactions are so smooth!,2024-02-23 08:26:01
40,380,16,Love this! 🔥,2023-04-30 15:22:59
41,19,4,Great use of color and typography.,2026-08-16 04:19:44
42,483,14,Great use of color and typography.,2026-06-05 14:09:46
43,476,9,Can you share the process behind this?,2025-10-09 21:57:34
44,232,33,Great use of color and typography.,2025-06-27 17:36:55
45,48,12,The micro-interactions are so smooth!,2026-07-18 15:22:17
46,418,38,Clean and minimal. Perfect! ✨,2025-01-07 20:15:49
47,476,7,The micro-interactions are so smooth!,2025-02-16 22:37:53
48,112,37,Inspiring work! Would love to collaborate.,2026-10-30 16:13:20
49,151,33,Great use of color and typography.,2024-05-17 15:15:21
50,232,27,Clean and minimal. Perfect! ✨,2026-03-24 13:13:04
51,140,18,How did you achieve this effect?,2026-03-24 23:06:18
52,454,19,The micro-interactions are so smooth!,2024-04-27 12:57:21
53,98,12,The micro-interactions are so smooth!,2024-01-18 22:56:11
54,49,18,How did you achieve this effect?,2023-04-23 20:35:42
55,359,4,Inspiring work! Would love to collaborate.,2024-03-18 22:15:53
56,323,9,How did you achieve this effect?,2023-02-24 14:15:50
57,415,33,Can you share the process behind this?,2026-12-16 09:56:17
58,281,3,The micro-interactions are so smooth!,2024-05-01 05:39:23
59,339,1,Love this! 🔥,2023-01-20 06:15:14
60,273,43,The micro-interactions are so smooth!,2024-01-20 08:51:49
61,490,7,Can you share the process behind this?,2026-08-29 06:48:01
62,279,24,Love this! 🔥,2023-09-10 16:27:39
63,423,47,Inspiring work! Would love to collaborate.,2023-07-17 02:57:54
64,129,49,The micro-interactions are so smooth!,2026-02-14 11:53:00
65,190,30,Inspiring work! Would love to collaborate.,2026-06-24 10:34:50
66,339,38,Inspiring work! Would love to collaborate.,2026-07-13 14:46:27
67,106,6,Can you share the process behind this?,2023-01-07 22:21:27
68,31,11,Can you share the process behind this?,2024-08-07 15:52:27
69,109,6,Clean and minimal. Perfect! ✨,2026-05-14 08:40:47
70,38,35,Great use of color and typography.,2024-01-02 04:24:00
71,106,18,Clean and minimal. Perfect! ✨,2026-10-05 00:56:44
72,72,24,Inspiring work! Would love to collaborate.,2025-07-19 19:05:23
73,220,5,Can you share the process behind this?,2023-05-21 01:21:49
74,380,15,Inspiring work! Would love to collaborate.,2023-04-09 17:43:25
75,305,14,Clean and minimal. Perfect! ✨,2023-05-02 22:40:31
76,325,49,Can you share the process behind this?,2024-03-14 05:57:14
77,328,19,Clean and minimal. Perfect! ✨,2023-08-16 16:05:43
78,110,34,How did you achieve this effect?,2024-05-10 12:25:56
79,39,45,Great use of color and typography.,2023-07-10 12:19:26
80,214,32,Clean and minimal. Perfect! ✨,2026-12-21 03:17:03
81,82,17,How did you achieve this effect?,2026-06-11 01:49:40
82,76,14,Great use of color and typography.,2026-12-19 17:26:14
83,238,10,Great use of color and typography.,2025-09-04 06:07:37
84,245,33,Clean and minimal. Perfect! ✨,2024-12-11 04:43:19
85,337,21,Love this! 🔥,2023-04-06 07:11:39
86,432,50,Inspiring work! Would love to collaborate.,2024-07-18 15:29:06
87,385,7,The micro-interactions are so smooth!,2025-10-29 01:57:41
88,422,45,How did you achieve this effect?,2024-12-04 02:20:15
89,268,46,Love this! 🔥,2026-12-29 14:23:43
90,474,31,The micro-interactions are so smooth!,2024-06-22 02:10:53
91,333,4,The micro-interactions are so smooth!,2026-10-08 23:25:19
92,248,31,Clean and minimal. Perfect! ✨,2023-11-06 11:54:42
93,233,11,Love this! 🔥,2025-04-08 18:22:19
94,256,24,The micro-interactions are so smooth!,2025-08-11 22:49:53
95,385,30,The micro-interactions are so smooth!,2024-10-10 07:31:57
96,111,7,How did you achieve this effect?,2026-10-16 18:00:19
97,185,2,Love this! 🔥,2025-07-28 06:29:24
98,146,41,Inspiring work! Would love to collaborate.,2024-09-23 22:41:36
99,201,26,Love this! 🔥,2025-03-03 07:04:08
100,445,41,The micro-interactions are so smooth!,2025-08-18 09:27:14
101,188,43,The micro-interactions are so smooth!,2026-04-24 19:27:35
102,255,42,The micro-interactions are so smooth!,2025-05-20 20:18:40
103,209,7,Great use of color and typography.,2023-01-12 09:31:10
104,257,29,How did you achieve this effect?,2024-07-23 04:00:26
105,462,3,Can you share the process behind this?,2023-03-04 01:36:39
106,320,10,Inspiring work! Would love to collaborate.,2025-06-27 04:00:06
107,229,42,How did you achieve this effect?,2024-08-03 22:55:58
108,381,1,Clean and minimal. Perfect! ✨,2024-11-18 07:46:17
109,157,31,Clean and minimal. Perfect! ✨,2023-08-20 14:06:15
110,234,29,Great use of color and typography.,2025-08-14 08:10:57
111,30,48,Clean and minimal. Perfect! ✨,2024-04-04 22:41:54
112,470,7,Inspiring work! Would love to collaborate.,2024-11-18 19:44:46
113,18,20,The micro-interactions are so smooth!,2023-04-26 23:04:59
114,224,25,The micro-interactions are so smooth!,2024-04-18 04:20:43
115,88,29,Can you share the process behind this?,2026-10-09 01:14:31
116,134,24,Clean and minimal. Perfect! ✨,2025-11-13 01:54:14
117,456,24,Love this! 🔥,2023-01-13 08:54:11
118,61,12,Can you share the process behind this?,2026-11-24 00:27:08
119,201,47,Great use of color and typography.,2024-10-09 07:22:35
120,308,3,Clean and minimal. Perfect! ✨,2025-04-06 13:54:22
121,434,43,Can you share the process behind this?,2024-01-28 02:52:24
122,185,40,Great use of color and typography.,2023-03-26 06:05:01
123,352,4,The micro-interactions are so smooth!,2024-04-22 01:39:51
124,210,6,How did you achieve this effect?,2024-07-12 00:56:02
125,146,24,Inspiring work! Would love to collaborate.,2024-08-24 06:14:29
