id,name,description,avatar_url,website,created_at
1,Studio Pixel,Creative team specializing in web design.,https://cdn.dribbble.com/teams/team_1.png,https://team1.studio.com,2023-02-25 08:10:51
2,Creative Lab,Creative team specializing in illustration design.,https://cdn.dribbble.com/teams/team_2.png,https://team2.studio.com,2024-07-28 18:25:44
3,Design Co.,Creative team specializing in UI/UX design.,https://cdn.dribbble.com/teams/team_3.png,https://team3.studio.com,2024-08-23 13:31:22
4,Motion House,Creative team specializing in branding design.,https://cdn.dribbble.com/teams/team_4.png,https://team4.studio.com,2025-05-25 13:09:14
5,Brand Crafters,Creative team specializing in web design.,https://cdn.dribbble.com/teams/team_5.png,https://team5.studio.com,2025-07-16 21:49:50
6,UI Collective,Creative team specializing in UI/UX design.,https://cdn.dribbble.com/teams/team_6.png,https://team6.studio.com,2026-05-14 02:04:14
7,Art Squad,Creative team specializing in illustration design.,https://cdn.dribbble.com/teams/team_7.png,https://team7.studio.com,2025-11-19 13:07:48
8,Digital Studio,Creative team specializing in motion design.,https://cdn.dribbble.com/teams/team_8.png,https://team8.studio.com,2023-08-21 17:40:22
9,Visual Works,Creative team specializing in UI/UX design.,https://cdn.dribbble.com/teams/team_9.png,https://team9.studio.com,2023-07-21 04:09:11
10,Design Hub,Creative team specializing in illustration design.,https://cdn.dribbble.com/teams/team_10.png,https://team10.studio.com,2025-07-15 05:27:53
